,id,val,Node,Channel,Value,is_posted,create_ts,sent_ts,State ,rolling_avg,pred
169,4404614,1603285266, EC4N0003, A2,0.14,0,2020-10-21 13:01:00,-0.03,Idle,0.1325,Idle
170,4404628,1603285267, EC4N0003, A1,0.11,0,2020-10-21 13:01:00,0.02,Idle,0.13,Idle
171,4404629,1603285267, EC4N0003, A2,0.13,0,2020-10-21 13:01:00,-0.02,Idle,0.1225,Idle
172,4404630,1603285267, EC4N0003, A0,0.11,0,2020-10-21 13:01:00,0.03,Idle,0.1225,Idle
173,4404640,1603285268, EC4N0003, A2,0.14,0,2020-10-21 13:01:00,-0.04,Idle,0.1225,Idle
174,4404641,1603285268, EC4N0003, A0,0.1,0,2020-10-21 13:01:00,0.03,Idle,0.12,Idle
175,4404651,1603285269, EC4N0003, A0,0.13,0,2020-10-21 13:01:00,-0.02,Idle,0.12,Idle
176,4404652,1603285269, EC4N0003, A1,0.11,0,2020-10-21 13:01:00,0.01,Idle,0.12,Idle
177,4404661,1603285270, EC4N0003, A0,0.12,0,2020-10-21 13:01:00,0.0,Idle,0.11499999999999999,Idle
178,4404662,1603285270, EC4N0003, A1,0.12,0,2020-10-21 13:01:00,0.03,Idle,0.12,Idle
179,4404663,1603285270, EC4N0003, A2,0.15,0,2020-10-21 13:01:00,-0.04,Idle,0.125,Idle
180,4404671,1603285271, EC4N0003, A1,0.11,0,2020-10-21 13:01:00,0.03,Idle,0.125,Idle
181,4404672,1603285271, EC4N0003, A2,0.14,0,2020-10-21 13:01:00,-0.01,Idle,0.13,Idle
182,4404673,1603285271, EC4N0003, A0,0.13,0,2020-10-21 13:01:00,0.01,Idle,0.1325,Idle
183,4404682,1603285272, EC4N0003, A2,0.14,0,2020-10-21 13:01:00,-0.04,Idle,0.13,Idle
184,4404683,1603285272, EC4N0003, A0,0.1,0,2020-10-21 13:01:00,0.05,Idle,0.1275,Idle
185,4404691,1603285273, EC4N0003, A2,0.15,0,2020-10-21 13:01:00,-0.04,Idle,0.13,Idle
186,4404692,1603285273, EC4N0003, A0,0.11,0,2020-10-21 13:01:00,-0.01,Idle,0.125,Idle
187,4404693,1603285273, EC4N0003, A1,0.1,0,2020-10-21 13:01:00,0.01,Idle,0.11499999999999999,Idle
188,4404703,1603285274, EC4N0003, A0,0.11,0,2020-10-21 13:01:00,0.02,Idle,0.1175,Idle
189,4404704,1603285274, EC4N0003, A1,0.13,0,2020-10-21 13:01:00,-0.02,Idle,0.11249999999999999,Idle
190,4404714,1603285275, EC4N0003, A1,0.11,0,2020-10-21 13:01:00,0.04,Idle,0.11249999999999999,Idle
191,4404715,1603285275, EC4N0003, A2,0.15,0,2020-10-21 13:01:00,-0.04,Idle,0.125,Idle
192,4404725,1603285276, EC4N0003, A1,0.11,0,2020-10-21 13:01:00,0.03,Idle,0.125,Idle
193,4404726,1603285276, EC4N0003, A2,0.14,0,2020-10-21 13:01:00,-0.01,Idle,0.1275,Idle
194,4404727,1603285276, EC4N0003, A0,0.13,0,2020-10-21 13:01:00,0.01,Idle,0.1325,Idle
195,4404736,1603285278, EC4N0003, A2,0.14,0,2020-10-21 13:01:00,-0.04,Idle,0.13,Idle
196,4404737,1603285278, EC4N0003, A0,0.1,0,2020-10-21 13:01:00,0.04,Idle,0.1275,Idle
197,4404747,1603285279, EC4N0003, A2,0.14,0,2020-10-21 13:01:00,-0.01,Idle,0.1275,Idle
198,4404748,1603285279, EC4N0003, A0,0.13,0,2020-10-21 13:01:00,-0.03,Idle,0.1275,Idle
199,4404749,1603285279, EC4N0003, A1,0.1,0,2020-10-21 13:01:00,0.03,Idle,0.1175,Idle
200,4404758,1603285280, EC4N0003, A0,0.13,0,2020-10-21 13:01:00,-0.01,Idle,0.125,Idle
201,4404759,1603285280, EC4N0003, A1,0.12,0,2020-10-21 13:01:00,0.01,Idle,0.12,Idle
202,4404760,1603285280, EC4N0003, A2,0.13,0,2020-10-21 13:01:00,-0.02,Idle,0.12,Idle
203,4404769,1603285281, EC4N0003, A1,0.11,0,2020-10-21 13:01:00,0.03,Idle,0.1225,Idle
204,4404770,1603285281, EC4N0003, A2,0.14,0,2020-10-21 13:01:00,-0.04,Idle,0.125,Idle
205,4404780,1603285282, EC4N0003, A1,0.1,0,2020-10-21 13:01:00,0.04,Idle,0.12,Idle
206,4404781,1603285282, EC4N0003, A2,0.14,0,2020-10-21 13:01:00,-0.03,Idle,0.1225,Idle
207,4404782,1603285282, EC4N0003, A0,0.11,0,2020-10-21 13:01:00,0.02,Idle,0.1225,Idle
208,4404791,1603285283, EC4N0003, A2,0.13,0,2020-10-21 13:01:00,-0.03,Idle,0.12,Idle
209,4404792,1603285283, EC4N0003, A0,0.1,0,2020-10-21 13:01:00,0.09,Idle,0.12,Idle
210,4404801,1603285284, EC4N0003, A2,0.19,0,2020-10-21 13:01:00,-0.08,Idle,0.13249999999999998,Idle
211,4404802,1603285284, EC4N0003, A0,0.11,0,2020-10-21 13:01:00,0.0,Idle,0.13249999999999998,Idle
212,4404803,1603285284, EC4N0003, A1,0.11,0,2020-10-21 13:01:00,-0.01,Idle,0.12749999999999997,Idle
213,4404813,1603285285, EC4N0003, A0,0.1,0,2020-10-21 13:01:00,0.01,Idle,0.12749999999999997,Idle
214,4404814,1603285285, EC4N0003, A1,0.11,0,2020-10-21 13:01:00,0.04,Idle,0.10749999999999997,Idle
215,4404815,1603285285, EC4N0003, A2,0.15,0,2020-10-21 13:01:00,-0.05,Idle,0.11749999999999997,Idle
216,4404825,1603285286, EC4N0003, A1,0.1,0,2020-10-21 13:01:00,0.04,Idle,0.11499999999999996,Idle
217,4404826,1603285286, EC4N0003, A2,0.14,0,2020-10-21 13:01:00,-0.04,Idle,0.12499999999999997,Idle
218,4404834,1603285287, EC4N0003, A1,0.1,0,2020-10-21 13:01:00,0.05,Idle,0.12249999999999997,Idle
219,4404835,1603285287, EC4N0003, A2,0.15,0,2020-10-21 13:01:00,-0.05,Idle,0.12249999999999997,Idle
220,4404836,1603285287, EC4N0003, A0,0.1,0,2020-10-21 13:01:00,0.07,Idle,0.12249999999999997,Idle
221,4404844,1603285288, EC4N0003, A2,0.17,0,2020-10-21 13:01:00,-0.07,Idle,0.12999999999999998,Idle
222,4404845,1603285288, EC4N0003, A0,0.1,0,2020-10-21 13:01:00,0.01,Idle,0.12999999999999998,Idle
223,4404846,1603285288, EC4N0003, A1,0.11,0,2020-10-21 13:01:00,0.01,Idle,0.11999999999999997,Idle
224,4404856,1603285289, EC4N0003, A0,0.12,0,2020-10-21 13:01:00,-0.01,Idle,0.12499999999999997,Idle
225,4404857,1603285289, EC4N0003, A1,0.11,0,2020-10-21 13:01:00,-0.01,Idle,0.10999999999999996,Idle
226,4404867,1603285290, EC4N0003, A0,0.1,0,2020-10-21 13:01:00,0.02,Idle,0.10999999999999996,Idle
227,4404868,1603285290, EC4N0003, A1,0.12,0,2020-10-21 13:01:00,0.02,Idle,0.11249999999999996,Idle
228,4404869,1603285290, EC4N0003, A2,0.14,0,2020-10-21 13:01:00,0.0,Idle,0.11749999999999997,Idle
229,4404886,1603285292, EC4N0003, A2,0.14,0,2020-10-21 13:01:00,-0.02,Idle,0.12499999999999997,Idle
230,4404887,1603285292, EC4N0003, A0,0.12,0,2020-10-21 13:01:00,0.03,Idle,0.12999999999999998,Idle
231,4404897,1603285293, EC4N0003, A2,0.15,0,2020-10-21 13:01:00,-0.06,Idle,0.13749999999999998,Idle
232,4404898,1603285293, EC4N0003, A0,0.09,0,2020-10-21 13:01:00,0.01,Idle,0.12499999999999997,Idle
233,4404899,1603285293, EC4N0003, A1,0.1,0,2020-10-21 13:01:00,0.01,Idle,0.11499999999999996,Idle
234,4404908,1603285294, EC4N0003, A0,0.11,0,2020-10-21 13:01:00,0.0,Idle,0.11249999999999996,Idle
235,4404909,1603285294, EC4N0003, A1,0.11,0,2020-10-21 13:01:00,0.0,Idle,0.10249999999999995,Idle
236,4404918,1603285295, EC4N0003, A1,0.11,0,2020-10-21 13:01:00,0.05,Idle,0.10749999999999996,Idle
